Index	Sentence	Entity	Entity_Startindex	Entity_Stopindex	Entity_Info
PMC5116318_OgerInput.txtOger_out.csv:151	One can assume that LIN and CEF, owing to their chemical structure and pharmacological properties, do not constitute a substrate for any of the tested isoenzymes of cytochrome P450. 	cytochrome P450	23440	23455	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5116318_OgerInput.txtOger_out.csv:151	One can assume that LIN and CEF, owing to their chemical structure and pharmacological properties, do not constitute a substrate for any of the tested isoenzymes of cytochrome P450. 	cytochrome P450	23440	23455	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5116318_OgerInput.txtOger_out.csv:152	It is thus possible that other isoenzymes belonging to cytochrome P450 play a part in the metabolism of the studied drugs. 	cytochrome P450	23512	23527	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5116318_OgerInput.txtOger_out.csv:152	It is thus possible that other isoenzymes belonging to cytochrome P450 play a part in the metabolism of the studied drugs. 	cytochrome P450	23512	23527	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5116318_OgerInput.txtOger_out.csv:158	Among the multiple microsomal fraction enzymes of liver cells, the ones most involved in biotransformations of foreign substances are isoenzymes of cytochrome P450; ca. 	cytochrome P450	24610	24625	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5116318_OgerInput.txtOger_out.csv:158	Among the multiple microsomal fraction enzymes of liver cells, the ones most involved in biotransformations of foreign substances are isoenzymes of cytochrome P450; ca. 	cytochrome P450	24610	24625	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5116318_OgerInput.txtOger_out.csv:170	Besides, the presence and the appropriate level of NADPH-dependent cytochrome P450 reductase in liver cells is a necessary condition for proper physiological actions of its isoenzymes. 	cytochrome P450	26160	26175	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5116318_OgerInput.txtOger_out.csv:170	Besides, the presence and the appropriate level of NADPH-dependent cytochrome P450 reductase in liver cells is a necessary condition for proper physiological actions of its isoenzymes. 	cytochrome P450	26160	26175	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5116318_OgerInput.txtOger_out.csv:195	All the postulated phase I metabolic reactions are typical for processes catalyzed by isoenzymes of the cytochrome P450 group. 	cytochrome P450	30827	30842	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5116318_OgerInput.txtOger_out.csv:195	All the postulated phase I metabolic reactions are typical for processes catalyzed by isoenzymes of the cytochrome P450 group. 	cytochrome P450	30827	30842	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5209692_OgerInput.txtOger_out.csv:50	We took into account drug elimination in cardiac tissue as cytochrome P450 enzymes were detected in human cardiovascular tissue. 	cytochrome P450	7283	7298	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5209692_OgerInput.txtOger_out.csv:50	We took into account drug elimination in cardiac tissue as cytochrome P450 enzymes were detected in human cardiovascular tissue. 	cytochrome P450	7283	7298	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5215688_OgerInput.txtOger_out.csv:21	In addition, because PHT and CBZ are subjected to hepatic metabolism, cytochrome P450 (CYP450) isoenzymes could have an important role, affecting drug exposure in brain tissue, these include CYP2C9, CYP2C19, CYP2D6, CYP3A4, CYP3A5, CYP1B1 and CYP2E1 proteins. 	cytochrome P450	3426	3441	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5215688_OgerInput.txtOger_out.csv:21	In addition, because PHT and CBZ are subjected to hepatic metabolism, cytochrome P450 (CYP450) isoenzymes could have an important role, affecting drug exposure in brain tissue, these include CYP2C9, CYP2C19, CYP2D6, CYP3A4, CYP3A5, CYP1B1 and CYP2E1 proteins. 	cytochrome P450	3426	3441	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5219702_OgerInput.txtOger_out.csv:1	 Sex-dependent alteration of cardiac cytochrome P450 gene expression by doxorubicin in C57Bl/6 mice. 	cytochrome P450	37	52	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5219702_OgerInput.txtOger_out.csv:1	 Sex-dependent alteration of cardiac cytochrome P450 gene expression by doxorubicin in C57Bl/6 mice. 	cytochrome P450	37	52	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5219702_OgerInput.txtOger_out.csv:5	We have previously demonstrated that Doxorubicin alters the expression of several cytochrome P450 enzymes in the hearts of male rats. 	cytochrome P450	481	496	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5219702_OgerInput.txtOger_out.csv:5	We have previously demonstrated that Doxorubicin alters the expression of several cytochrome P450 enzymes in the hearts of male rats. 	cytochrome P450	481	496	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5219702_OgerInput.txtOger_out.csv:32	We have demonstrated that acute DOX-induced cardiotoxicity alters the expression of several cytochrome P450 enzymes in the H9c2 cardiomyoblasts in vitro and in the hearts of male Sprague Dawley rats in vivo. 	cytochrome P450	4910	4925	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5219702_OgerInput.txtOger_out.csv:32	We have demonstrated that acute DOX-induced cardiotoxicity alters the expression of several cytochrome P450 enzymes in the H9c2 cardiomyoblasts in vitro and in the hearts of male Sprague Dawley rats in vivo. 	cytochrome P450	4910	4925	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5270475_OgerInput.txtOger_out.csv:21	A revelation from the first genome sequence of M. tuberculosis (that for the virulent H37Rv strain) was that 20 different cytochrome P450 (CYP or P450) enzymes were encoded. 	cytochrome P450	3406	3421	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5270475_OgerInput.txtOger_out.csv:21	A revelation from the first genome sequence of M. tuberculosis (that for the virulent H37Rv strain) was that 20 different cytochrome P450 (CYP or P450) enzymes were encoded. 	cytochrome P450	3406	3421	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5270706_OgerInput.txtOger_out.csv:23	TF6 cytochrome P450 alkane hydroxylase, were predicted. 	cytochrome P450	2974	2989	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5270706_OgerInput.txtOger_out.csv:23	TF6 cytochrome P450 alkane hydroxylase, were predicted. 	cytochrome P450	2974	2989	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5281577_OgerInput.txtOger_out.csv:2	N-benzyl-N-cyclopropylamine (BCA) has been attracting great interests for decades for its partial suicide inactivation role to cytochrome P450 (P450) via a ring-opening mechanism besides acting as a role of normal substrates. 	cytochrome P450	278	293	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5281577_OgerInput.txtOger_out.csv:2	N-benzyl-N-cyclopropylamine (BCA) has been attracting great interests for decades for its partial suicide inactivation role to cytochrome P450 (P450) via a ring-opening mechanism besides acting as a role of normal substrates. 	cytochrome P450	278	293	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5281577_OgerInput.txtOger_out.csv:9	Besides, discovery of such inhibitors for an enzyme, eg, cytochrome P450, whose mechanisms are not well-characterized should provide an equally specific and effective probe. 	cytochrome P450	1966	1981	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5281577_OgerInput.txtOger_out.csv:9	Besides, discovery of such inhibitors for an enzyme, eg, cytochrome P450, whose mechanisms are not well-characterized should provide an equally specific and effective probe. 	cytochrome P450	1966	1981	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5281577_OgerInput.txtOger_out.csv:11	Cyclopropylamines are one kind of such prototypical inhibitors for cytochrome P450 enzymes (P450s), which are widely found in biologically active natural products, synthetic drugs and also widely used as mechanistic probes to reveal elusive reaction mechanisms, such as that involved in P450-catalyzed amine oxidations (Bhakta and Wimalasena, ; Ortiz de Montellano and De Voss, ; Totah and Hanzlik, ; Bhakta et al.,. 	cytochrome P450	2340	2355	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5281577_OgerInput.txtOger_out.csv:11	Cyclopropylamines are one kind of such prototypical inhibitors for cytochrome P450 enzymes (P450s), which are widely found in biologically active natural products, synthetic drugs and also widely used as mechanistic probes to reveal elusive reaction mechanisms, such as that involved in P450-catalyzed amine oxidations (Bhakta and Wimalasena, ; Ortiz de Montellano and De Voss, ; Totah and Hanzlik, ; Bhakta et al.,. 	cytochrome P450	2340	2355	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5281577_OgerInput.txtOger_out.csv:29	Furthermore, according to Hanzlik, the incubation of 1 with microsomes indeed caused a time-, concentration- and cofactor-dependent loss of cytochrome P450 activity, which was, however, not vanished completely but instead remained 25-30% of it (Cerny and Hanzlik,. 	cytochrome P450	6894	6909	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5281577_OgerInput.txtOger_out.csv:29	Furthermore, according to Hanzlik, the incubation of 1 with microsomes indeed caused a time-, concentration- and cofactor-dependent loss of cytochrome P450 activity, which was, however, not vanished completely but instead remained 25-30% of it (Cerny and Hanzlik,. 	cytochrome P450	6894	6909	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5281577_OgerInput.txtOger_out.csv:46	recently investigated the mechanism-based inactivation of cytochrome P450 by 1,1-dimethylhydrazine (UMDH) (Hirao et al., ), they examined four possible reaction pathways including H-abstractions from the primary amine moiety and the methyl moiety, as well as the direct oxidations on two nitrogen atoms. 	cytochrome P450	10156	10171	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5281577_OgerInput.txtOger_out.csv:46	recently investigated the mechanism-based inactivation of cytochrome P450 by 1,1-dimethylhydrazine (UMDH) (Hirao et al., ), they examined four possible reaction pathways including H-abstractions from the primary amine moiety and the methyl moiety, as well as the direct oxidations on two nitrogen atoms. 	cytochrome P450	10156	10171	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5281577_OgerInput.txtOger_out.csv:104	In other words, the present N-H bond activation should be achieved via a PCET(ET) mechanism as the findings of Usharani et al.. As mentioned by Cerny and Hanzlik, cytochrome P450 activity was not vanished completely but instead remained 25-30% during the incubation with BCA. 	cytochrome P450	21584	21599	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5281577_OgerInput.txtOger_out.csv:104	In other words, the present N-H bond activation should be achieved via a PCET(ET) mechanism as the findings of Usharani et al.. As mentioned by Cerny and Hanzlik, cytochrome P450 activity was not vanished completely but instead remained 25-30% during the incubation with BCA. 	cytochrome P450	21584	21599	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5281577_OgerInput.txtOger_out.csv:126	For decades, the mechanism-based inactivation role of N-benzyl-N-cyclopropylamine to cytochrome P450 has been attracting great interests. 	cytochrome P450	26012	26027	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5281577_OgerInput.txtOger_out.csv:126	For decades, the mechanism-based inactivation role of N-benzyl-N-cyclopropylamine to cytochrome P450 has been attracting great interests. 	cytochrome P450	26012	26027	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5294638_OgerInput.txtOger_out.csv:199	A foliar application of methyl jasmonate caused a higher expression level of HMGR and the farnesyl diphosphate synthase gene in leaves and stems of treated S. album seedlings compared to untreated plants at 4 h, but expression of cytochrome P450 showed no change in both leaves and stems. 	cytochrome P450	32636	32651	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5294638_OgerInput.txtOger_out.csv:199	A foliar application of methyl jasmonate caused a higher expression level of HMGR and the farnesyl diphosphate synthase gene in leaves and stems of treated S. album seedlings compared to untreated plants at 4 h, but expression of cytochrome P450 showed no change in both leaves and stems. 	cytochrome P450	32636	32651	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5306091_OgerInput.txtOger_out.csv:93	Docetaxel is mainly metabolized by hepatic cytochrome P450 isoenzymes, whereas Monoclonal Antibodies are primarily eliminated through large-capacity, non-specific, Fc receptor-mediated IgG clearance mechanisms and through specific, target-mediated drug disposition pathways. 	cytochrome P450	19759	19774	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5306091_OgerInput.txtOger_out.csv:93	Docetaxel is mainly metabolized by hepatic cytochrome P450 isoenzymes, whereas Monoclonal Antibodies are primarily eliminated through large-capacity, non-specific, Fc receptor-mediated IgG clearance mechanisms and through specific, target-mediated drug disposition pathways. 	cytochrome P450	19759	19774	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5307856_OgerInput.txtOger_out.csv:145	In this section, we highlight the diversity of SM production in the aspergilli and the role of cytochrome P450 (CYP) genes in secondary metabolism. 	cytochrome P450	25717	25732	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5307856_OgerInput.txtOger_out.csv:145	In this section, we highlight the diversity of SM production in the aspergilli and the role of cytochrome P450 (CYP) genes in secondary metabolism. 	cytochrome P450	25717	25732	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5307856_OgerInput.txtOger_out.csv:335	A cytochrome P450 nor (nitric oxide reductase) that reduces NO to N_2O was found in Fusarium oxysporum. 	cytochrome P450	57336	57351	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5307856_OgerInput.txtOger_out.csv:335	A cytochrome P450 nor (nitric oxide reductase) that reduces NO to N_2O was found in Fusarium oxysporum. 	cytochrome P450	57336	57351	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5314637_OgerInput.txtOger_out.csv:125	This analysis revealed that P-Coumaroyl Ester 3-Hydroxylase is a member of the cytochrome P450 family, an oxireductase acting as monooxygenase (InterPro). 	cytochrome P450	21638	21653	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5314637_OgerInput.txtOger_out.csv:125	This analysis revealed that P-Coumaroyl Ester 3-Hydroxylase is a member of the cytochrome P450 family, an oxireductase acting as monooxygenase (InterPro). 	cytochrome P450	21638	21653	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5333191_OgerInput.txtOger_out.csv:8	With respect to environmental stress, we note a proliferation of various detoxification genes, including glutatione-S-transferases and those in the cytochrome P450 families. 	cytochrome P450	1282	1297	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5333191_OgerInput.txtOger_out.csv:8	With respect to environmental stress, we note a proliferation of various detoxification genes, including glutatione-S-transferases and those in the cytochrome P450 families. 	cytochrome P450	1282	1297	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5333191_OgerInput.txtOger_out.csv:125	Most CYP450 genes in ant genomes are members of cytochrome P450 9th, 6th and 4th families (Fig. 	cytochrome P450	17542	17557	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5333191_OgerInput.txtOger_out.csv:125	Most CYP450 genes in ant genomes are members of cytochrome P450 9th, 6th and 4th families (Fig. 	cytochrome P450	17542	17557	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5333191_OgerInput.txtOger_out.csv:224	We studied the cytochrome P450 superfamily in detail, as it is known for its crucial role in resistance to xenobiotics [,. 	cytochrome P450	30020	30035	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5333191_OgerInput.txtOger_out.csv:224	We studied the cytochrome P450 superfamily in detail, as it is known for its crucial role in resistance to xenobiotics [,. 	cytochrome P450	30020	30035	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5333191_OgerInput.txtOger_out.csv:237	L. niger and C. floridanus, which belong to the subfamily Formicinae, contain approximately the same number of cytochrome P450 genes, and this number is higher than that in other species of ants. 	cytochrome P450	31670	31685	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5333191_OgerInput.txtOger_out.csv:237	L. niger and C. floridanus, which belong to the subfamily Formicinae, contain approximately the same number of cytochrome P450 genes, and this number is higher than that in other species of ants. 	cytochrome P450	31670	31685	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5333191_OgerInput.txtOger_out.csv:241	It is possible that the large set of cytochrome P450 genes provide for polyphagia by enabling specific and nonspecific neutralization of various phyto and mycotoxins (phytotoxin resistance would enable L. niger to feed on nectar and resistance to mycotoxins would enable it to feed on dead insects). 	cytochrome P450	32101	32116	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5333191_OgerInput.txtOger_out.csv:241	It is possible that the large set of cytochrome P450 genes provide for polyphagia by enabling specific and nonspecific neutralization of various phyto and mycotoxins (phytotoxin resistance would enable L. niger to feed on nectar and resistance to mycotoxins would enable it to feed on dead insects). 	cytochrome P450	32101	32116	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5333191_OgerInput.txtOger_out.csv:243	Some cytochrome P450 genes can oxidize some of these chemicals, eg, benzo(a)pyren. 	cytochrome P450	32538	32553	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5333191_OgerInput.txtOger_out.csv:243	Some cytochrome P450 genes can oxidize some of these chemicals, eg, benzo(a)pyren. 	cytochrome P450	32538	32553	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5348184_OgerInput.txtOger_out.csv:95	^ CYP2J2 comes from a superfamily of monooxygenases of cytochrome P450 (CYP450) enzymes, and we choose its gene as candidate to investigate the relationship between CYP2J2 and IS in Chinese Han population. 	cytochrome P450	14059	14074	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5348184_OgerInput.txtOger_out.csv:95	^ CYP2J2 comes from a superfamily of monooxygenases of cytochrome P450 (CYP450) enzymes, and we choose its gene as candidate to investigate the relationship between CYP2J2 and IS in Chinese Han population. 	cytochrome P450	14059	14074	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5363288_OgerInput.txtOger_out.csv:134	Similar to other toxic effects of TCDD, DNA oxidation damage and oxidative stress have been assumed to be connected with the AhR and activation of cytochrome P450 superfamily of enzymes, especially CYP1A1. 	cytochrome P450	23809	23824	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5363288_OgerInput.txtOger_out.csv:134	Similar to other toxic effects of TCDD, DNA oxidation damage and oxidative stress have been assumed to be connected with the AhR and activation of cytochrome P450 superfamily of enzymes, especially CYP1A1. 	cytochrome P450	23809	23824	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5363288_OgerInput.txtOger_out.csv:160	DNA oxidation damage in rodents exposed to DLCs is probably induced through upregulation of cytochrome P450 superfamily of enzymes, mediated by AhR-dependent pathways. 	cytochrome P450	28551	28566	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5363288_OgerInput.txtOger_out.csv:160	DNA oxidation damage in rodents exposed to DLCs is probably induced through upregulation of cytochrome P450 superfamily of enzymes, mediated by AhR-dependent pathways. 	cytochrome P450	28551	28566	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5380267_OgerInput.txtOger_out.csv:24	^ However, MMF is of possible concern and its combination with drugs, environmental pollutants, or food constituents, which activate cytochrome P450 transcriptional factor, may represent a significant toxicological risk. 	cytochrome P450	4464	4479	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5380267_OgerInput.txtOger_out.csv:24	^ However, MMF is of possible concern and its combination with drugs, environmental pollutants, or food constituents, which activate cytochrome P450 transcriptional factor, may represent a significant toxicological risk. 	cytochrome P450	4464	4479	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5380267_OgerInput.txtOger_out.csv:28	P-glycoprotein (Pgp) and cytochrome P450 3A4 have been recognized as determinants of the bioavailability of widely used immunosuppressants such as CsA, tacrolimus, and sirolimus. 	cytochrome P450	5327	5342	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5380267_OgerInput.txtOger_out.csv:28	P-glycoprotein (Pgp) and cytochrome P450 3A4 have been recognized as determinants of the bioavailability of widely used immunosuppressants such as CsA, tacrolimus, and sirolimus. 	cytochrome P450	5327	5342	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5380267_OgerInput.txtOger_out.csv:120	Proliferation signal inhibitors such as sirolimus and EVR are substrates of cytochrome P450 3A4 and Pgp and have a macrolide structure very similar to tacrolimus, which explains why common drug interactions with proliferation signal inhibitors are comparable to those with CNIs. 	cytochrome P450	20455	20470	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5380267_OgerInput.txtOger_out.csv:120	Proliferation signal inhibitors such as sirolimus and EVR are substrates of cytochrome P450 3A4 and Pgp and have a macrolide structure very similar to tacrolimus, which explains why common drug interactions with proliferation signal inhibitors are comparable to those with CNIs. 	cytochrome P450	20455	20470	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5393875_OgerInput.txtOger_out.csv:28	suggested that DIO induces anticancer activity in MCF7 breast cancer cells by causing cytochrome P450 bioactivation. 	cytochrome P450	3354	3369	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
PMC5393875_OgerInput.txtOger_out.csv:28	suggested that DIO induces anticancer activity in MCF7 breast cancer cells by causing cytochrome P450 bioactivation. 	cytochrome P450	3354	3369	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_352', 'CUI-less')
PMC5408066_OgerInput.txtOger_out.csv:163	While the contribution of some dietary polyphenols in the management of Benign Prostatic Hyperplasia has been indicated in this review as supported by clinical findings, it must also be emphasized that non-regulated and long-lasting supplementation with some dietary polyphenols could lead to potential harmful effects due to possible interactions with cytochrome P450 enzymes. 	cytochrome P450	32644	32659	('Cytochromes', 'Cytochrome P-450 Enzyme System', 'NCCS', 'NCCS_344', 'CUI-less')
